date,cases,url,deaths2,rep_pos_rate2,in_hospital
5/5/2020,93,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-5-2020,9,NA,NA
5/6/2020,97,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-6-2020,11,NA,NA
5/7/2020,214,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-7-2020,9,NA,NA
5/8/2020,238,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-8-2020,6,NA,NA
5/9/2020,168,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-9-2020,9,NA,NA
5/10/2020,113,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-10-2020,7,NA,NA
5/11/2020,140,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-11-2020,10,NA,NA
5/12/2020,147,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-12-2020,10,NA,NA
5/13/2020,133,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-13-2020,7,NA,NA
5/14/2020,172,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-14-2020,6,NA,NA
5/15/2020,232,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-15-2020,5,NA,NA
5/16/2020,276,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-16-2020,7,NA,NA
5/17/2020,163,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-17-2020,9,NA,NA
5/18/2020,126,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-18-2020,9,NA,NA
5/19/2020,137,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-19-2020,4,NA,NA
5/20/2020,125,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-20-2020,9,NA,NA
5/21/2020,199,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-21-2020,11,NA,NA
5/22/2020,245,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-22-2020,4,NA,NA
5/23/2020,248,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-23-2020,5,NA,NA
5/24/2020,209,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-24-2020,7,NA,NA
5/25/2020,90,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-25-2020,7,NA,NA
5/26/2020,253,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-26-2020,13,NA,NA
5/27/2020,207,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-27-2020,9,NA,NA
5/28/2020,156,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-28-2020,11,NA,NA
5/29/2020,331,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-29-2020,8,NA,NA
5/30/2020,266,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-30-2020,5,NA,NA
5/31/2020,312,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-May-31-2020,6,NA,NA
6/1/2020,297,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-1-2020,10,NA,NA
6/2/2020,285,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-2-2020,3,NA,NA
6/3/2020,235,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-3-2020,6,NA,NA
6/4/2020,361,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-4-2020,12,NA,NA
6/5/2020,447,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-5-2020,12,NA,NA
6/6/2020,512,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-6-2020,9,NA,NA
